時間,コメント,
256.258,ナイス！,
257.394,ナイスゥ,
257.833,ないすー！,
257.918,ナイスチーム！！,
258.116,ピストル取れてるのいいねえ,
258.277,ないすー！,
258.409,ナイス,
258.649,みんなで合わせてかなっ　良い,
258.662,最後のスクリム頑張ってー！！みんなの努力が実るよう、応援してます！！,
259.108,ないすぅー！,
259.684,ないす！,
260.486,ナイス！,
260.496,ナイス！,
260.986,ないす！！,
261.914,なーいす！！！,
261.803,良すぎ,
261.985,今日いい感じか？,
262.157,ナイス〜！！,
262.142,いいねぇ,
262.225,めちゃめちゃ良い感じや！！,
262.605,ナイスゥ！,
262.587,うまい！,
263.186,ナイスゥ,
264.605,ナイス！,
264.75,いいぞぉ！！！！,
265.414,ないすぅ,
265.72,リテイク綺麗だぁ！,
265.855,ナイスゥ！,
266.808,いいぞ！！ナイス,
266.817,がんばれーー！,
267.056,めっちゃええやん！,
267.343,いいよチーム！,
267.54,モク中エビオはマジで警戒されてそうww,
268.833,こことれたあらあちぃ,
269.093,えぐ,
269.791,ナイス,
269.986,ないすー！,
271.124,ナイス！！！,
271.391,いいぞ！！,
271.498,いいねえ,
272.345,対よろ〜！,
272.404,エイムばちばちや,
272.47,ピストルゲーミングだ,
272.485,最終日かー,
272.557,みんないい！！,
272.994,ないすー,
273.716,なんか安定してるな,
273.891,いいぞー！,
273.896,強いやん！！,
274.04,うっま,
274.306,エコ取れるのいいねぇ,
274.621,ナイスチーム,
274.814,声でてるのいいね！,
275.209,コールと連携がいい感じすぎる；,
275.821,かなり良い感じ！！,
276.907,ぱらりーや！,
277.228,いい感じ！！！,
278.384,ここ取れたらでかいね,
279.113,ないすぅー！,
279.12,モク中にエビオあり,
280.59,めちゃくちゃええやん！！,
281.153,がんばれ！,
281.23,まじハンドガン取れてるのデカい！,
281.243,きれっきれえいむ,
282.77,頑張れぇぇぇえ！,
283.382,アセント守りホントうまい,
284.352,明らかにコールの質が高い,
284.627,このままいけー！！,
285.491,ティムいいよー！,
285.707,頑張れー！,
286.813,本番もコーチはバイの時話せるんですか？,
288.358,ハンドガンラウンドでかいよ！！,
288.735,ピストルとれてるやん,
289.593,うますぎる,
290.32,めっちゃ良いチーム,
291.904,かるびいいね,
296.701,めちゃいい感じね！！,
299.289,報告もいいよー,
302.009,かるびいいな,
304.305,エイムいい,
304.654,がんばれ〜！,
305.831,かるびコールめっちゃええやん！,
306.458,選手おちんついて頑張れ～,
310.488,アセントは毎回良い感じだから,
310.535,ナイス,
310.628,本番は話せないらしい,
311.884,ないすぅ！,
312.187,ナイス,
312.591,ナイス！,
313.269,ナイスゥ！,
313.301,ないす,
313.442,苦手な守りで勝ててるのがでかい,
313.608,ないす！,
313.781,ナイス,
315.073,がんばれ〜！,
315.263,ないす！,
315.897,エイム綺麗,
315.94,ナイス,
316.262,ナイス！,
317.257,おしおし,
317.522,報告いい感じ！,
318.592,ナイス,
318.8,がんばれ～！,
319.455,今日のかるびはいいな,
322.33,nt,
325.87,nt,
326.321,ナイエコ,
327.683,みえてる！？ｗ,
328.37,hnt,
328.689,nt,
328.793,nt,
329.181,惜しい,
329.365,nt,
329.855,nt,
330.338,ないとら,
330.472,あの距離見えんのか？,
330.548,nt,
331.868,ntnt,
331.93,nt,
332.086,nt,
332.234,ないとら～,
333.154,どま,
334.174,nt,
334.374,nt,
334.86,ロレ強くね？,
335.019,nt,
335.721,nt,
336.071,nt,
336.101,ないとら,
336.239,nt,
336.319,おし,
337.335,どま,
337.388,nt,
337.491,おしー,
337.966,nt,
338.354,nt,
338.389,nt,
338.647,nt,
338.64,nt,
338.664,nt,
339.632,ないエコ,
339.852,ntnt,
340.011,nf,
340.074,惜しい,
340.082,ろれつっよ,
340.306,nt,
341.049,nt,
341.028,nt,
341.102,ないけず,
341.214,ファイティン,
341.557,nt,
341.723,エイムぷりっちまった,
342.033,nt,
342.135,どま！,
342.293,nt,
343.327,nt,
343.603,ろれつよ,
344.096,nt,
344.116,nt,
344.093,nt,
345.191,どま！！,
345.936,nt,
346.93,惜しい！,
347.021,ロレのところか さすがに強いな,
347.145,nt,
347.207,相手も上手い,
347.232,ありがとうございます,
347.457,nt,
349.264,ふぁいふぁいふぁい！！,
350.161,nt,
350.707,nt,
352.223,いい失敗,
352.239,声出てるぞ,
355.211,対よろ,
357.441,エコなんだよね,
362.517,いいねいいね！,
363.058,がんばれー！,
365.612,いいねぇ,
369.602,ここ勝てたら自信えぐいな,
370.667,声でてる！かっけ！,
372.207,お、ハンドガンとってますやん,
374.354,ろれのちーむ全勝なんだっけ,
378.91,スクリム頑張って！,
382.613,本番はBO1だしな,
386.206,がんばれ,
387.569,いい感じよ,
388.54,対よろ,
389.071,オーバーレイの裏のって戦績のとかだっけ？,
393.544,がんばー,
396.91,このチーム倒すぞ！,
402.332,頑張って,
403.125,コールいいなあ,
409.313,これまでBO1ならうちも全勝だから今回も頼む,
409.701,かるび見違えたな,
409.884,ド葛本社面白かったで！　スクリムも頑張れ！！,
410.054,落ち着いて,
411.672,ナイス！！,
413.622,おお！,
413.598,ないすー！,
414.481,うまい！！,
415.661,ナイス,
416.047,ナイス,
416.086,ナイス,
416.061,ナイス,
416.157,ナイス！,
416.571,ナイス！！！！,
417.271,ないす！,
417.641,うんま,
417.745,おおおお,
418.057,ナイス,
418.072,ナイスゥ！,
418.377,ナイスゥ,
418.365,ナイスつよ,
418.39,ナイスゥ！！,
418.734,ないす,
418.772,おおお,
419.132,えつよ,
419.412,ナイスナイス,
419.478,つよ,
419.838,うおおおお,
420.071,ナイス,
420.31,つよっ,
420.384,ないすー！！！,
420.375,うま,
420.433,うまい,
420.461,うんま,
420.499,Awesome.,
420.636,うま！,
420.729,ナイス,
420.716,ないす,
420.814,ないすー,
420.99,うっま,
421.908,うま,
421.966,ナイス,
422.525,ないす,
423.457,うま,
423.749,ないす！！,
423.968,ナイス！,
426.311,うまあい！！！,
427.88,ないす,
427.887,つっよ！,
429.508,ちるちるちる,
430.199,杖ええええエエ,
431.225,うんまー！！！！！,
432.04,ナイス！,
432.065,ないす,
433.146,うんま,
434.107,ナイスゥ,
434.526,大丈夫だ！！,
435.357,ナイス！,
435.868,がんばれ！,
436.054,えぐいよ,
436.142,すご,
436.817,ナイスです…！,
437.033,エイムあったまってる！,
437.26,素晴らしい耐え,
437.298,つよ,
437.452,aimバッチリね,
437.486,大丈夫,
438.481,削られたなぁ,
439.048,やっぱまだバラついとるか,
439.662,いけるぞ がんばれ,
439.828,うまー,
440.403,ないす,
449.726,ローレンにフィジカル負けてねえ！強い！,
453.456,ナイス,
453.628,がちうまい,
456.93,ないす！,
459.608,ナイスゥ,
459.751,ナイスゥ！,
462.087,ナイス,
462.094,ないすないすないす,
462.62,あぶねえええｗ,
462.882,ナイス！,
462.908,ないす！！,
462.928,ナイスゥ！！！,
463.035,ないす,
463.065,ナイスゥ,
463.316,ナイス,
463.311,ナイスー！,
463.417,ないす,
463.592,ナイス,
463.619,ないす,
463.622,ないす,
463.664,ないすないす,
463.786,こわw,
463.792,ナイス～！,
463.872,ナイス！,
463.891,ないすう,
463.994,ナイス！！,
464.158,ないす！！！,
464.254,ナイスゥ,
464.262,ないすないす！！！,
464.38,ないす,
464.565,ナイスー,
464.57,ないす！,
464.63,ナイスー！,
464.769,ナイスゥ！！！！！！,
464.98,ナイスゥ！,
465.209,ナイスー！,
465.477,ナイス!!,
465.539,ナイス！,
465.61,ないすぅ,
465.727,ナイスゥ！,
465.901,ナイスゥー,
465.961,ナイス,
465.974,ナイスゥ！,
466.027,ナイスゥ！！,
466.049,ナイスゥ,
466.181,ナイスナイスナイス,
466.193,ナイス！,
466.416,ナイスゥ,
466.606,ないすー！,
466.734,ないすぅ！,
466.881,なーいす！,
467.286,ナイス！！！！,
467.61,ないす！,
467.779,いいよー！,
468.019,ナイスゥ！,
468.91,ないすー！！,
468.994,まじないす,
469.059,落ち着いててナイスゥ！,
469.926,ないす！,
470.103,ナイスー！,
470.167,ナイス！！！！,
470.291,ナイス！！！,
470.964,nice!!!,
471.056,ナイス！,
471.497,ないす！,
471.721,ないすぅ！,
471.754,ナイス！,
471.784,ナイスです…！,
472.003,ナイス！,
472.031,ないすーーー！！！！！！,
472.583,ナイスー！,
473.456,ないす,
473.815,ないす！,
474.41,葛葉のAIMあったまってるなぁ～～！！！,
474.873,ないすう,
475.086,ないすぅ,
475.282,ナイス！,
475.929,niceeee,
476.147,守りいいね,
476.788,いけるぞー！！！,
476.877,ナイスー！！！！！！！,
477.952,ないすぅ,
478.215,ナイス！！！,
478.231,ナイスじゃない！？,
478.864,ナイスゥ！,
479.155,てぃむうますぎん？！,
479.19,うまなってる,
479.383,ナイスーー！！！,
479.883,ないす！！,
480.311,ないすー！,
481.304,ヒバ強くない？,
481.376,葛葉さんエイムぽかぽかだね～！,
481.455,今の感じでいこう！,
481.918,かっけーぞ！！！,
482.608,3枚持ってくのえぐいて,
483.645,ナイス,
483.687,対ヨロ,
483.871,ないすぅー！,
484.124,ええやんええやん,
484.421,いけてるど,
484.629,いいねーー！,
484.875,ないすー,
486.143,ナイス,
486.717,エイムホカホカです,
487.344,ナイス耐えすぎた,
487.473,葛葉が三人やってなかったらキツかったな,
487.608,耐え過ぎだ葛葉,
487.676,葛葉ナイス耐え,
487.799,耐えたねえ〜！,
488.615,コール良き〜！,
489.951,ヒバうんめえな,
491.965,ないてぃむ,
493.12,３キルでかい,
