時間,コメント
283.835,くーちゃんがんば、
284.006,葛葉がんばれ！
284.068,がんばれー
284.135,葛葉がんばれ！
284.137,がんばれー！
284.664,じゅんがすまにょ
285.55,五年登録してないけど、コメして大丈夫？
285.613,草
285.809,くずはー？
285.9,やあ
285.931,ｗｗ
286.263,対戦よろしくお願いします！
286.455,何ピックするかなぁ
286.962,Maiy→Meiy
287.665,がんばれよ
287.812,コーチ感謝
288.318,メンバー濃いな
288.383,更新したら名前直ったよ！
288.669,コメント制限した方がいいぞ
289.715,修正ナイス〜！
289.888,対よろ
290.55,ダイヤになってんだよねw
290.68,がんばれ
290.844,がんばれ〜！
291.707,コーチー
291.787,今日は楽しんでやー
292.741,あ
293.264,あ
293.67,草
293.951,加藤純一
294.68,やあ
294.869,え
294.933,義務相槌の葛葉
295.143,草
295.803,賢者タイムやん
295.825,葛葉緊張中！
297.632,Maiy→Meiy
298.685,いいねえ
300.047,修正なつ
300.596,うええええい
301.402,がんばぇえ
302.225,うれしいねぇ
302.699,アセしられてなかったのか
302.701,ふぁいてぃん〜
306.175,おおおおおおお
306.216,ｗｗ
306.884,そうなんよねー
306.883,賢者タイムすか
306.961,くずはー？緊張してんのかあー？
307.031,お
307.076,ドヤァ
307.418,ふぁいと～
307.894,いや草
308.479,おおおおおおww
308.546,草
308.849,草
308.868,草
308.97,草
309.179,うおおおおおおおおおおおおおおおおおおおおおおおおお
309.705,まじかww
309.882,草
310.444,ww
310.741,がんばってね！
310.784,えｗ
310.97,がんばれ〜
310.98,コメ欄盛り上がってきてていいねえ
311.015,草
311.072,おおお
311.09,え！
311.104,うおおおお
311.133,草
311.138,草
311.249,草
311.566,草
311.571,草
311.646,おおお
311.714,運ばせるw
311.788,草
311.855,草
311.921,草
311.97,草
312.235,草
312.243,あ
312.263,草
312.325,おおおｗ
312.331,草
312.454,草
312.505,草
312.604,まじかｗ
312.664,うおおおおおおおおおおおおおおおおおおおおおお
312.684,草
312.849,キャリー？！！
312.859,草
312.984,キャリー枠
313.303,運ばなきゃｗｗ
313.358,名指しマ？
314.076,おー
314.382,まっずw
314.444,草
314.621,こわいよ～；；
314.833,背負わされてんな
314.979,草
315.623,嬉しいねえ
317.058,草
319.3,プレえぐww
319.308,プレッシャーw
319.603,葛葉キャリーか
319.71,草
319.936,プレッシャーw
320.175,あーーーらw
320.189,あ
320.309,草
320.365,えぐ草
320.41,がんばれ！
320.493,嬉しいじゃん
320.532,草
320.697,まじかw
320.766,落ちたけどちゃんとアセ
321.075,キャリー枠ですか〜＾
321.086,衛門楽しんでいけな
321.88,期待されてるなぁw
321.964,がんばれー！！
322.867,わあ
324.384,w
324.622,嬉しいねぇ
324.864,プレッシャーだな～ｗ
325.608,背負え背負え
325.683,にょっす
326.054,いやっほおおおおおおおお
326.322,運転手なるかぁー！w
326.697,じゃすゲーやね
326.907,キャリー義務発生しちまったな
326.921,おい嬉しすぎるや
326.987,純を頼んだぞ
328.06,嬉しいね！
328.15,頑張れ
328.483,草
328.481,おとなしいの貴重
328.559,指名
329.065,こーれプレッシャーですw
329.205,やあ
329.374,楽しく頑張って
330.183,頑張れ～
330.559,うれしいね〜
330.711,じゃすぱー次第か
330.724,じゃっさんメンタル保って
332.436,か
333.087,がんばれー！
333.148,うおおおおおおお
333.852,キャリー枠なのか！？！！
333.929,プレッシャーえぐw
334.99,じゃすぱーリムジン
335.707,キャリーするしかねえ
335.799,うおおお頑張れ！
335.816,賢者タイムすか
336.503,草
336.637,対よろ
336.764,キャリー側なんだよねｗ
336.821,どしっときたぁぁぁ
336.951,期待されてんねぇ
337.593,がんばれええ
337.726,好かれてて良かったね
338.583,おっもいw
338.96,じゃす～？
338.985,擦り合ってて草
339.1,キャリーしろよ
339.152,キャリー義務発生！
339.208,じゃっさんが破壊するから
339.389,くずじゃすまじがんばれ！！！w
340.202,あ
341.376,がんばれ〜！
341.744,キャリーや
343.385,運んで差し上げろ
343.659,運転手なるか〜
344.163,草
344.328,チャットできるやん
344.4,草
344.642,嬉しいなあ
344.812,がんばれー
345.054,ｗｗ
346.263,じゃす>葛葉>関>=vdk？
346.698,じゃすぱー頼んだ
346.966,キャリー枠ですか^^
348.163,草
348.775,がんばれ！
348.836,草
349.127,笑顔のおっさんをキャリーしてやってくれ
349.124,じゃっさんやってくれはマジ
351.101,やるしかねぇ
351.474,訂正感謝
352.196,みんなで肩組もうぜ！
353.224,葛葉が背負うか？
353.601,草
353.911,普通にうまいやろーw
353.912,大御所２人悪いわあw
354.068,頑張れ〜
355.197,キャリー義務発生？
355.96,ヒットボックスで
356.715,関さんも久々や
357.512,やあ
358.208,草
360.527,トレモの関
362.007,コメできるやんよろしくねえ＾＾
362.675,対よろー
363.465,じゃすとバナーおそろで仲良しや
363.932,Maiy→Meiy
364.146,ドキドキや
365.717,スト６に囚われてる
366.055,葛葉今日静かすぎない？？
366.246,色々頑張れ！
366.761,がんばれ
368.636,くずはー？やれるかー？
369.014,vdkも汗やで
369.109,やぁ！！！！！！！
369.118,賢者タイムすか
371.191,ジャスと同じアイコンだ！
371.412,やぁ
371.512,葛葉さんがんばえ♡
371.565,がんばれぇええええ！
372.177,キャリーすんべ
372.295,がんばれー
372.877,キャリー枠ってコト
373.788,がんばれ！
376.465,緊張してる？
376.598,やあ
376.812,嬉しそう
377.189,ヒットボックスでVALO
378.063,ボドーか
378.68,～～～
379.777,加藤純一＞その他 な
380.074,じゃすくずキャリーTy
380.373,やあ
380.45,声がw
380.817,にょっす
380.951,やあ
381.148,やぁ
381.402,やぁ
382.277,じゅぴちゃんイジれ
382.758,緊張やね
382.92,がんばえー
382.984,加藤は昨日芋帯でやってたんだぞ！！
383.379,加藤純一と葛葉が並んでるよおおお！！
384.27,じゃすとバナー一緒だ
384.414,今日は頼むよ
384.486,あれずいぶんと静かだね
385.505,うあ～
385.57,がんばれー
386.191,がんばれ～
386.288,じゅんにもっと絡んでいいぞ！
386.825,衛門もどきは全部BANでいいぞ！
387.841,牛のやつはなんなん？
388.297,やあ
388.366,加藤純一最強！！！
388.396,ファイティン！
388.443,このチームスモーク誰やるん？
388.629,緊張とぅる
388.719,頑張れ〜
390.254,やあ
390.557,がんばれ
390.646,GOGOGO
390.854,やぁ
391.153,がんばれー！
391.182,にょっす！
391.192,くーちゃん
391.227,優しい
391.646,おい！お前やれるのか？
391.696,にょっす
391.759,葛葉っていつもこんな静かなの？？
392.104,がんばれ〜
392.815,バスの運転手きちゃ
393.298,借りてきた猫みたいになってて草
393.377,コメ欄のこの感じ久しぶりやな
393.952,頑張れ〜
394.1,がんばれ〜
394.498,じゃす頼りか一旦
394.746,練習頑張れ～！
394.821,やあ　今日よろしくね＾＾
395.114,頑張れー！
395.234,どりゃ！
395.41,やあ
395.422,やあ
395.686,連投はバンです＾＾
396.041,やあ
396.292,がんばれ
396.62,がんばれ〜
397.059,お前じゅんの悪口言ったらしいな？
397.101,あれｗ
399.894,【緊張&人見知り発動中】
400.102,がんば！
400.704,じゃすとアイコンおなじなんだなｗ
400.968,ふぁいてぃん！！！
401.107,緊張しすぎw
401.324,にょにょ!
401.634,やあ
402.488,ボドカ久しぶりで嬉しいな
402.928,がんばれ～
403.069,一旦ね
403.199,モデいるのか？
403.722,楽しみ
404.067,がんば～
404.226,がんばれー！
404.314,にょっす
404.39,やあ
404.429,ふぁいてぃん
405.278,緊張するな
405.748,頑張れ〜
405.897,安定で荒らされてて草
406.024,がんばれー！
406.095,ふぁいてぃん！
406.79,頑張れー！
406.875,今日賑やかになるな
407.162,にょっすにょっす
407.196,がんばれ〜
407.274,くずは頑張れ！！
407.789,俺がやる
407.945,にょっす
409.792,楽しんでけ~
409.945,スカイ～！
410.216,スカイよね
410.394,れちごー！
410.51,にょっす
412.404,火畜のみんな今日はよろしくね〜
412.367,ふぁいてぃん！
412.586,コメ欄温まってていいね
412.594,くーちゃん緊張してるー？
412.817,がんばー
412.864,関さんと懐かしいから嬉しい
412.966,にょっす
414.541,スカイ株式会社いっぞ
414.577,にょっすにょっすにょっす
414.963,がんばれー
415.034,スカイだ〜
415.176,コメント賑やかでいいねえ
415.64,対よろ！！
415.932,ふぁいてぃーん！
416.72,がんばえー
417.398,ふぁいてぃん！
417.496,まあ普通に緊張するわな
417.556,株式会社
417.83,がんばれ
417.931,楽しめよ〜
417.952,ふぁいてぃん
418.087,がんばれ〜
418.138,スカイきちゃーーー
418.158,メイ君若いのにこの中でしっかり話せるのすごいな
418.563,がんばて〜
418.827,スカイよなぁ
418.945,まースカイだな！
419.09,にょ、にょまれ〜！
420.6,葛葉はスカイだよなー一旦
420.749,そういう概念だからしゃーない
421.01,メイ君頼む
421.528,にょっす
421.724,にょ
421.874,スカイうおおおおおおおお
422.774,ずはー？
422.941,葛葉！！がんばれ
423.101,よろしくねぇ
423.134,ふぁいてぃんふぁいてぃん〜
423.673,モデレーターさん頑張ってください〜
423.81,楽しんでこ〜
423.923,やあ＾＾
424.004,がんばれー！
424.114,連投はBANされるかもしれんから気をつけろよ！
424.479,楽しめなw
424.646,皆んなやあ
424.715,がんばれー
424.758,Maiy→Meiy
425.032,やっぱりスカイよね
425.166,がんばれ〜！
426.226,がんばれ～
426.23,衛門のこと優しく迎えてくれ
426.416,ええええええええ
426.459,ふぁいてぃん！
427.074,やっぱスカイよねー
427.077,がんばれー！
427.563,にょっす！は挨拶やんけ
427.579,マジでVtuber見てないけど、応援するから頑張れな
427.887,スカイきちゃ
428.852,真面目なピックだ
429.138,ふぁいと
430.022,うおおおおおおおおおおおおおお
430.144,やあ＾＾
430.221,ふぁいてぃーん
430.24,がんばれー！！
430.678,がんばって
430.813,がんばれ〜！
431.011,がんばれ〜！
431.126,がんばー
431.428,賑やかだなw
431.503,ファイティーン！！
431.692,まぁこっからあったまるよ
431.909,がんばれ！！
432.903,ｗｗ
433.868,にょっす
433.978,大人しく観ようねみんな！楽しんでこ！！
433.954,なしｗ
433.991,頑張れ～
433.997,がんばれー！！
434.194,がんばれ！
434.261,スカイだー！！
434.342,楽しんでね
434.393,なしなんだｗ
434.769,もうこの感じ慣れたから荒れてる感じせんわw
434.884,衛門達きたw
435.02,よろ
435.147,無しかあｗ
435.197,なしなんだw
435.602,安定のスカイ
435.61,対よろ！
435.617,がんばれー！
435.966,がんばえ～！
436.018,無しかぁw
436.023,きっぱり
436.124,ふぁいてぃん！
436.242,がんばれ~
436.819,いい絵被ってんね
437.124,にょっす
437.8,ばっさりw
438.385,今日は賑やかでもええやろ
438.404,無しです
438.701,なしですこれ
438.78,やあ＾＾、
438.82,ファイト
438.988,無しかｗ
439.035,チェンなしなんだ
439.231,がんばれ～!
440.264,チェンさん；；；
440.326,草
440.347,うんこちゃんと一緒で緊張してる
440.357,草
440.937,弱いか…
441.209,チェンバー；；
442.733,なしなんかw
442.952,草
443.115,チェンバーなしなんやw
443.386,がんばれー！
443.642,がんばれー！！
444.143,ああｗ
444.342,チェンさん；；
444.457,コーチのVC大きい
