投稿時間,コメント,ラベル,,,,,,,,,
958.912,玉ね,,,,,,,,,,
959.21,ガチャ音水耕まで聞こえるからねw,,,,,,,,,,
968.234,こんひな〜,,,,,,,,,,
968.821,無限ガチャ弁,,,,,,,,,,
983.902,ボセック上手いしな,,,,,,,,,,
984.691,こんひなー,,,,,,,,,,
991.126,ありぴは弓の名手よ。,,,,,,,,,,
992.864,こん:_hii::_naa:,,,,,,,,,,
998.691,www,,,,,,,,,,
998.647,ありさかさんボセックうまい,,,,,,,,,,
999.24,wwwwwww,,,,,,,,,,
1002.306,あ,,,,,,,,,,
1003.325,あ,,,,,,,,,,
1004.76,まさかのだるさか,,,,,,,,,,
1005.389,ｗｗ,,,,,,,,,,
1005.612,あ,,,,,,,,,,
1005.982,ナイス白,,,,,,,,,,
1006.317,あｗ,,,,,,,,,,
1006.427,あっ,,,,,,,,,,
1007.614,あ,,,,,,,,,,
1007.886,リピーターのほうが強そうだけどな,,,,,,,,,,
1007.896,白定期,,,,,,,,,,
1007.922,あ,,,,,,,,,,
1007.96,いつもの,,,,,,,,,,
1007.982,あっ,,,,,,,,,,
1008.702,白定期ナイス,,,,,,,,,,
1008.848,a,,,,,,,,,,
1008.954,もはや才能ｗｗｗ,,,,,,,,,,
1009.134,あ,,,,,,,,,,
1009.657,？,,,,,,,,,,
1010.208,あ,,,,,,,,,,
1010.839,あ,,,,,,,,,,
1011.283,あｗｗｗ,,,,,,,,,,
1011.425,あwww,,,,,,,,,,
1012.474,あ,,,,,,,,,,
1012.738,あ,,,,,,,,,,
1012.784,証拠隠滅,,,,,,,,,,
1013.63,モンハン関係ないやんｗｗｗ,,,,,,,,,,
1013.771,..?,,,,,,,,,,
1013.721,w,,,,,,,,,,
1014.032,白定期,,,,,,,,,,
1015.039,虐待,,,,,,,,,,
1016.114,あ,,,,,,,,,,
1016.682,あっ,,,,,,,,,,
1018.12,モンハンw,,,,,,,,,,
1019.001,あ,,,,,,,,,,
1022.902,ありさかさんボセック上手いよね,,,,,,,,,,
1023.806,え？白？,,,,,,,,,,
1024.297,www,,,,,,,,,,
1024.405,白白白白白白,,,,,,,,,,
1025.566,チャージステップww,,,,,,,,,,
1026.474,マービン警察くるでー,,,,,,,,,,
1026.768,だるま、ぼせっくすてたが,,,,,,,,,,
1026.973,ひなーの？,,,,,,,,,,
1028.268,ｗｗｗｗ,,,,,,,,,,
1029.02,白…,,,,,,,,,,
1029.614,スロット警察くるぞ,,,,,,,,,,
1033.327,アーマー進化のためにねww,,,,,,,,,,
1035.476,バレたら死刑になっちゃう,,,,,,,,,,
1036.103,友達ボセック使いいるのにー,,,,,,,,,,
1038.576,ちゃんとやったことある人やんだるまさんww,,,,,,,,,,
1040.517,2ndGもアカムの弓強くなかったっけ？,,,,,,,,,,
1041.673,wwwwww,,,,,,,,,,
1046.805,3rdでとまった,,,,,,,,,,
1047.539,マーヴィンで進化ダメおいしい,,,,,,,,,,
1051.162,大剣なんだw,,,,,,,,,,
1052.817,2ndGなら覇弓やね,,,,,,,,,,
1052.956,いつも通りだｗｗｗｗ,,,,,,,,,,
1053.084,ライトボウガン楽しかったなぁ,,,,,,,,,,
1055.143,ひなーのがモンハンしたら台パン止まらん,,,,,,,,,,
1055.495,しっぶw,,,,,,,,,,
1055.574,大剣使いひなーの,,,,,,,,,,
1056.453,2gのアカム弓強かったような,,,,,,,,,,
1056.918,セカジーが1番おもろいんよ！,,,,,,,,,,
1056.954,体術わからんかーww,,,,,,,,,,
1058.008,大剣は草,,,,,,,,,,
1060.441,大剣ええやろが！！,,,,,,,,,,
1061.893,大剣だろ,,,,,,,,,,
1062.218,2gの大剣はいい,,,,,,,,,,
1064.296,いいセンスだ,,,,,,,,,,
1066.519,大剣はいいぞ,,,,,,,,,,
1066.908,太刀が一番かっこいいぞ,,,,,,,,,,
1067.313,解釈一致だ,,,,,,,,,,
1067.671,大剣は男のロマンやろ！！,,,,,,,,,,
1067.604,ひなーの世代古いんだよなちょっとw,,,,,,,,,,
1068.303,双剣が1番かっこいい,,,,,,,,,,
1068.54,あ？大剣バカにした？,,,,,,,,,,
